,epoch,train_loss,val_loss
0,1,1488.2846608161926,1669.3221435546875
1,2,564.9673085212708,1414.2620849609375
2,3,488.9791396856308,1472.5474853515625
3,4,443.44206845760345,1390.6119384765625
4,5,418.97882974147797,1422.0106201171875
5,6,401.98687213659286,1280.55908203125
6,7,365.8666327595711,1340.6368408203125
7,8,361.2405570745468,1195.7889404296875
8,9,340.4073182940483,1135.685791015625
9,10,318.84262919425964,1237.88671875
10,11,289.417966067791,1485.6534423828125
11,12,279.7688141465187,1422.90234375
12,13,255.56950455904007,1408.0233154296875
13,14,229.31876933574677,1172.1943359375
14,15,209.7107183933258,1316.0054931640625
15,16,183.93483740091324,1454.5103759765625
16,17,156.27073523402214,1139.7100830078125
17,18,143.07122975587845,1261.5394287109375
18,19,117.98697039484978,1196.626220703125
19,20,102.65839397907257,1141.2713623046875
20,21,93.04189911484718,1218.97607421875
21,22,76.97690483927727,1299.854248046875
22,23,65.47976791858673,1322.8807373046875
23,24,55.692081302404404,1225.76123046875
24,25,58.77764604985714,1127.9931640625
25,26,48.80186629295349,1305.426513671875
26,27,35.01586106419563,1301.16943359375
27,28,32.05509941279888,1227.77001953125
28,29,26.477785676717758,1378.46826171875
29,30,23.123054277151823,1281.7119140625
30,31,23.242406509816647,1270.2515869140625
31,32,19.484875071793795,1233.5885009765625
32,33,15.906083915382624,1275.492431640625
33,34,15.95343111269176,1173.7569580078125
34,35,12.223247718065977,1255.73193359375
35,36,11.265264354646206,1268.8245849609375
36,37,9.387882314622402,1370.4879150390625
37,38,8.485654638148844,1194.2904052734375
38,39,7.480764823034406,1337.09814453125
39,40,6.536862723529339,1293.3499755859375
40,41,5.726774372160435,1276.025634765625
41,42,5.273125899024308,1327.091552734375
42,43,4.5096674035303295,1282.562744140625
43,44,4.375501913949847,1260.6236572265625
44,45,3.723692597821355,1284.45703125
45,46,3.3828040938824415,1304.8099365234375
46,47,2.980292080901563,1336.846435546875
47,48,2.7885215235874057,1320.177734375
48,49,2.7039550049230456,1292.8773193359375
49,50,2.1734333767089993,1308.2525634765625
