,epoch,train_loss,val_loss
0,1,2542.482997894287,125.09902954101562
1,2,777.5760116577148,197.43760681152344
2,3,677.4643483161926,181.54818725585938
3,4,635.9488676786423,163.07022094726562
4,5,606.9074615240097,254.18031311035156
5,6,589.9736778736115,141.1771697998047
6,7,557.8113429546356,175.4250030517578
7,8,531.1128566265106,207.90122985839844
8,9,515.8315132856369,239.83970642089844
9,10,483.7262935638428,141.42501831054688
10,11,458.0930688381195,130.01834106445312
11,12,423.59172654151917,119.87879180908203
12,13,409.4227434396744,168.9921417236328
13,14,364.3364672064781,141.20521545410156
14,15,328.75854313373566,141.79595947265625
15,16,318.75313037633896,152.8323516845703
16,17,264.1079045534134,132.01846313476562
17,18,243.47532200813293,93.80545806884766
18,19,214.53924995660782,181.84422302246094
19,20,205.78006288409233,131.18463134765625
20,21,156.7300477027893,146.18418884277344
21,22,155.2827111184597,131.5546112060547
22,23,135.46716472506523,153.85020446777344
23,24,122.62799167633057,149.0213165283203
24,25,97.22475382685661,153.31504821777344
25,26,83.47153417766094,165.05101013183594
26,27,78.27886538207531,102.399658203125
27,28,67.04659514129162,146.00692749023438
28,29,55.9189345985651,133.80380249023438
29,30,52.97264902293682,153.4241485595703
30,31,48.28385052084923,114.86919403076172
31,32,39.764312751591206,137.7675323486328
32,33,33.595398269593716,129.36270141601562
33,34,31.963346235454082,111.43787384033203
34,35,26.568766243755817,142.07876586914062
35,36,24.28776866197586,140.45468139648438
36,37,19.452588338404894,126.89945220947266
37,38,20.039563696831465,120.06549072265625
38,39,16.008626747876406,122.92937469482422
39,40,13.52708799391985,138.0525360107422
40,41,14.153704550117254,141.42027282714844
41,42,11.381259446963668,159.19566345214844
42,43,10.125574737787247,152.1315155029297
43,44,8.852341424673796,139.50509643554688
44,45,7.879309923388064,149.3980255126953
45,46,6.816496131010354,143.7774658203125
46,47,7.0672656781971455,149.06967163085938
47,48,5.826337422244251,146.39735412597656
48,49,4.779902305919677,137.93704223632812
49,50,4.20031663030386,136.37721252441406
