,epoch,train_loss,val_loss
0,1,1997.0249073505402,448.1435546875
1,2,776.2562665939331,382.3448791503906
2,3,653.9656159877777,715.3034057617188
3,4,591.8647439479828,876.4342651367188
4,5,562.8288810253143,780.4813842773438
5,6,527.5257971286774,579.9166259765625
6,7,511.9967192411423,653.9052734375
7,8,492.66124069690704,555.7682495117188
8,9,452.82326674461365,551.0691528320312
9,10,454.5134582519531,406.002685546875
10,11,411.6401478648186,384.4664611816406
11,12,393.50697696208954,395.7610168457031
12,13,349.03556191921234,419.4364318847656
13,14,336.27333295345306,326.3439025878906
14,15,312.5367006659508,757.3961791992188
15,16,275.9950241446495,182.3887939453125
16,17,239.01521611213684,292.5541687011719
17,18,206.77847284078598,322.8951110839844
18,19,195.14008143544197,531.617919921875
19,20,169.67011100053787,307.4477233886719
20,21,143.26748271286488,585.033935546875
21,22,129.66688239574432,261.0068054199219
22,23,107.5624640583992,328.8584899902344
23,24,99.9831765294075,323.0145568847656
24,25,81.76433397829533,342.9423828125
25,26,67.09750777482986,324.7391662597656
26,27,65.05099713802338,471.8006591796875
27,28,54.604855701327324,426.2563171386719
28,29,45.550159856677055,474.25799560546875
29,30,44.552581422030926,418.9388427734375
30,31,40.20772942900658,287.6004333496094
31,32,33.41959623992443,413.6814270019531
32,33,27.724609427154064,342.1165771484375
33,34,23.13619900494814,459.4574890136719
34,35,22.50819406285882,324.4039306640625
35,36,17.526663463562727,451.71063232421875
36,37,16.308979127556086,444.217041015625
37,38,15.203447487205267,561.6735229492188
38,39,16.91563787125051,372.18829345703125
39,40,11.841066678985953,406.9223327636719
40,41,10.114363735541701,377.9258117675781
41,42,8.521162340417504,465.8726806640625
42,43,8.694511651992798,400.0398254394531
43,44,8.545843671076,340.69921875
44,45,6.3009237395599484,420.4842834472656
45,46,6.059038535691798,368.93408203125
46,47,5.9203214754816145,372.1797180175781
47,48,4.140297919977456,432.042724609375
48,49,4.2373562809079885,401.64251708984375
49,50,3.6327224825508893,391.76824951171875
