,epoch,train_loss,val_loss
0,1,5126.573547840118,910.2130737304688
1,2,3506.4152612686157,984.961669921875
2,3,3300.7712149620056,1057.818603515625
3,4,3235.24236536026,1266.99365234375
4,5,3166.6943159103394,1471.3843994140625
5,6,3132.656054496765,996.7174072265625
6,7,3012.123551607132,981.9754638671875
7,8,3004.8435549736023,1220.5018310546875
8,9,2911.8285748958588,1907.92431640625
9,10,2778.163070678711,2194.528076171875
10,11,2629.4368045330048,1451.965087890625
11,12,2403.3320627212524,2786.732177734375
12,13,2130.333137989044,1621.7252197265625
13,14,1801.8328521251678,1020.87158203125
14,15,1508.2607011795044,2541.699951171875
15,16,1261.3330488204956,2836.109130859375
16,17,1044.5403077602386,1773.522216796875
17,18,867.9031901359558,1513.3489990234375
18,19,695.2280894517899,1480.33984375
19,20,546.5499750375748,1464.9892578125
20,21,469.4047021865845,1821.6671142578125
21,22,401.2801516056061,1897.1513671875
22,23,343.9535974264145,1255.87158203125
23,24,309.5255667567253,1790.5565185546875
24,25,260.0224238038063,1400.761474609375
25,26,217.02133852243423,1583.712890625
26,27,194.9598890542984,1731.0035400390625
27,28,167.30100452899933,1595.2918701171875
28,29,143.09670796990395,1642.0291748046875
29,30,123.63138312101364,1658.13232421875
30,31,120.39861512184143,1420.5999755859375
31,32,109.49898737668991,1715.7259521484375
32,33,89.9919362962246,1651.9156494140625
33,34,82.99554625153542,1596.7437744140625
34,35,74.25752547383308,1379.2388916015625
35,36,71.52282816171646,1611.57080078125
36,37,61.898766830563545,1716.026123046875
37,38,56.57505522668362,1632.9649658203125
38,39,51.27347733080387,1532.809326171875
39,40,47.76981998234987,1495.861083984375
40,41,44.73863637447357,1611.1845703125
41,42,41.052190743386745,1526.1302490234375
42,43,39.00263665616512,1570.8294677734375
43,44,36.420107156038284,1532.951904296875
44,45,34.565909035503864,1590.438232421875
45,46,32.193320386111736,1568.47314453125
46,47,31.006902791559696,1511.527587890625
47,48,28.0466430708766,1563.903076171875
48,49,27.084764260798693,1701.47265625
49,50,25.90871599316597,1563.2489013671875
