,epoch,train_loss,val_loss
0,1,4785.142888069153,1608.1688232421875
1,2,3436.957985639572,851.1176147460938
2,3,3244.7599947452545,824.4683837890625
3,4,3157.4234800338745,886.466552734375
4,5,3114.2513959407806,1150.627685546875
5,6,3096.020562529564,1163.3487548828125
6,7,3017.983527779579,973.2787475585938
7,8,2958.1270800828934,1187.106201171875
8,9,2853.898696422577,804.5316772460938
9,10,2702.7851527929306,912.4290161132812
10,11,2482.1854712963104,798.2953491210938
11,12,2128.6450358629227,1290.859375
12,13,1786.9963285923004,1092.46142578125
13,14,1501.8735793828964,895.1253662109375
14,15,1263.8684653043747,1124.1591796875
15,16,988.4060641527176,1344.9156494140625
16,17,736.3443688154221,1039.4615478515625
17,18,596.6911393404007,1038.1038818359375
18,19,416.47530829906464,1011.962890625
19,20,343.98889672756195,1056.9864501953125
20,21,267.8206141591072,997.7941284179688
21,22,211.95497143268585,1061.101318359375
22,23,182.51258608698845,1122.3917236328125
23,24,156.4668583869934,1113.7593994140625
24,25,131.58157631754875,1018.05224609375
25,26,110.09906736016273,1075.4005126953125
26,27,98.83042076230049,1045.33544921875
27,28,89.41947548091412,1165.1260986328125
28,29,80.80398590862751,1102.737060546875
29,30,69.86556831002235,1088.83544921875
30,31,61.68957804888487,1050.8558349609375
31,32,53.375551238656044,1112.30029296875
32,33,49.894286565482616,1033.8929443359375
33,34,44.59181668609381,1117.1201171875
34,35,41.42940439283848,1033.570068359375
35,36,37.33559109270573,1077.5269775390625
36,37,34.74060093984008,1095.3663330078125
37,38,31.94019254669547,1073.1181640625
38,39,29.499413162469864,1118.2186279296875
39,40,27.15433618053794,1019.4014282226562
40,41,26.17343555763364,1086.5
41,42,23.94316240772605,1061.762939453125
42,43,22.99510134011507,1114.15966796875
43,44,20.645636849105358,1090.8035888671875
44,45,19.261310264468193,1052.32958984375
45,46,18.107799543067813,1067.3515625
46,47,16.981196507811546,1107.3385009765625
47,48,15.775665452703834,1057.7838134765625
48,49,15.198482137173414,1067.909912109375
49,50,14.161375096067786,1060.412841796875
