,epoch,train_loss,val_loss
0,1,4872.07078742981,1151.7918701171875
1,2,3197.1027703285217,1035.008056640625
2,3,3012.607767343521,1116.626708984375
3,4,2951.8621501922607,1069.889892578125
4,5,2915.992750644684,1085.0921630859375
5,6,2841.5981290340424,1042.77734375
6,7,2763.1070766448975,1055.36474609375
7,8,2713.624851465225,1096.2738037109375
8,9,2540.757439136505,1132.5225830078125
9,10,2388.5586898326874,1076.2689208984375
10,11,2152.7020361423492,1213.4716796875
11,12,1955.0299344062805,1131.5091552734375
12,13,1684.1907551288605,1065.61669921875
13,14,1369.439041376114,1088.0653076171875
14,15,1219.3270208835602,1136.0478515625
15,16,1008.1632792949677,1077.2685546875
16,17,840.5329351425171,1114.5885009765625
17,18,685.3461303710938,1081.3935546875
18,19,541.2598214149475,1096.23046875
19,20,413.8563439846039,1095.767333984375
20,21,335.6137864589691,1092.7813720703125
21,22,271.77132773399353,1077.63818359375
22,23,217.3238143324852,1079.0902099609375
23,24,188.20660811662674,1097.905517578125
24,25,171.60689556598663,1076.5423583984375
25,26,137.2211830317974,1085.890625
26,27,116.59474208950996,1091.290283203125
27,28,104.13008898496628,1081.419189453125
28,29,91.94114305078983,1091.1448974609375
29,30,73.15495635569096,1081.2071533203125
30,31,62.41523861885071,1085.7203369140625
31,32,54.47143064439297,1084.4903564453125
32,33,50.852427415549755,1078.6796875
33,34,45.11274104565382,1080.2047119140625
34,35,41.596911154687405,1074.537841796875
35,36,35.019196040928364,1084.0411376953125
36,37,33.40394988656044,1081.798583984375
37,38,30.65242975950241,1089.1270751953125
38,39,28.123228423297405,1084.175537109375
39,40,25.15313694253564,1089.4403076171875
40,41,22.907644473016262,1086.0924072265625
41,42,22.408420030027628,1090.3704833984375
42,43,20.412389814853668,1084.4970703125
43,44,18.091808322817087,1085.796142578125
44,45,17.35186256840825,1089.5037841796875
45,46,16.79218151420355,1089.14453125
46,47,15.590131560340524,1090.5875244140625
47,48,14.485062964260578,1087.554443359375
48,49,13.728256648406386,1089.7039794921875
49,50,13.069238072261214,1093.283203125
