,epoch,train_loss,val_loss
0,1,6494.179039955139,438.7431945800781
1,2,3768.3541402816772,785.5469360351562
2,3,3553.8917931318283,474.7657165527344
3,4,3472.1727254390717,885.1829833984375
4,5,3426.754044532776,990.5138549804688
5,6,3363.6949379444122,1307.196044921875
6,7,3305.207286834717,437.92340087890625
7,8,3371.205552816391,513.3607788085938
8,9,3236.011872768402,947.2918701171875
9,10,3185.096851348877,624.452392578125
10,11,3064.3367898464203,773.2649536132812
11,12,2982.043834209442,926.9261474609375
12,13,2849.03703725338,990.0980834960938
13,14,2626.561404466629,629.994873046875
14,15,2378.860051035881,658.1336059570312
15,16,2027.487732887268,456.7361145019531
16,17,1969.5784676074982,538.6025390625
17,18,1733.395328760147,370.50994873046875
18,19,1518.994013786316,475.1914367675781
19,20,1439.683345079422,837.4369506835938
20,21,1242.5790886878967,510.87322998046875
21,22,1049.102703332901,772.311279296875
22,23,894.9610780477524,687.9025268554688
23,24,740.3308827877045,573.6295166015625
24,25,658.4996600151062,650.5626831054688
25,26,559.2216705083847,1153.572509765625
26,27,466.12195175886154,1764.65478515625
27,28,470.1832677125931,1815.1361083984375
28,29,384.8224631547928,730.9673461914062
29,30,290.24348336458206,1067.3223876953125
30,31,264.3079153895378,935.7991333007812
31,32,235.8342353105545,885.2618408203125
32,33,210.6320370733738,756.8167724609375
33,34,194.24975875020027,728.6046752929688
34,35,172.21967267245054,694.0307006835938
35,36,162.4806316792965,787.1231689453125
36,37,152.6416076719761,606.2029418945312
37,38,147.23165073990822,761.6470947265625
38,39,137.77518165111542,830.783203125
39,40,128.1420602798462,784.5508422851562
40,41,127.00725743174553,851.13671875
41,42,118.37733113765717,705.3518676757812
42,43,112.76691895723343,712.0584106445312
43,44,107.14091716706753,928.2481689453125
44,45,102.32085663080215,832.5496826171875
45,46,98.97445699572563,823.342529296875
46,47,94.8965220451355,743.3128662109375
47,48,90.55378337204456,802.8781127929688
48,49,87.36862343549728,819.7886962890625
49,50,84.33727611601353,866.7845458984375
