,run_name,site,patch_size,rotations,nr_patches_0,sum_carbon,sum_target,sum_prediction,mean_target,mean_prediction,mse,rmse,r2
0,baseline,Nestor Macias RGB,224,[ 0 30 60],767,5792.727929314215,5136.292665325033,2815.221360653639,6.696600606681921,3.6704320217126973,28.85654593446168,5.371828918949456,-0.8747472074061926
1,baseline,Leonor Aspiazu RGB,224,[ 0 30 60],958,3198.4475447677346,2863.702623877404,1977.0281441509724,2.9892511731496914,2.0637036995312865,23.765750537765463,4.875012875651249,-0.12297580941418218
2,baseline,Carlos Vera Arteaga RGB,224,[ 0 30 60],1006,3034.6125197037145,2706.9471486104344,5875.346478939056,2.6908023346028176,5.840304651032859,31.097840658723143,5.576543791518466,-1.3310302893639845
3,baseline,Carlos Vera Guevara RGB,224,[ 0 30 60],627,5830.613502254673,5021.50384422746,1293.2316790372133,8.008778060968835,2.062570460984391,82.99932888489927,9.110396746843644,-0.8176084475488723
4,baseline,Flora Pluas RGB,224,[ 0 30 60],953,4763.539027023904,4102.123566446009,6135.5639479756355,4.3044318640566726,6.438157343101401,20.08321159550844,4.481429637460399,-1.7778354110396712
5,baseline,Manuel Macias RGB,224,[ 0 30 60],611,1097.4471991947717,922.6669402124293,2037.9371941247955,1.5100931918370364,3.3354127563417273,7.762988335638293,2.78621397879601,-9.700684107414846
